STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CURRENCY,Currency,COUNTERPART_AREA,Counterpart area,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,AUD,Australian dollar,AUS,Australia,2026-05,,88,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,AUD,Australian dollar,AUS,Australia,2026-05,,91,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,AUT,Austria,2026-05,,121,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,AUT,Austria,2026-05,,109,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,BEL,Belgium,2026-05,,103,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,EUR,Euro,BEL,Belgium,2026-05,,117,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,CAD,Canadian dollar,CAN,Canada,2026-05,,100,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,GBR,United Kingdom,M,Monthly,CPL,Comparative price levels,IX,Index,CAD,Canadian dollar,CAN,Canada,2026-05,,103,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,AUS,Australia,M,Monthly,CPL,Comparative price levels,IX,Index,CLP,Chilean peso,CHL,Chile,2026-05,,194,,,
DATAFLOW,OECD.SDD.TPS:DSD_PPP_M@DF_PP_CPL_M(1.0),Monthly comparative price levels,I,CAN,Canada,M,Monthly,CPL,Comparative price levels,IX,Index,CLP,Chilean peso,CHL,Chile,2026-05,,170,,,
